Sr.No,Time,Crank Angle (deg),"Piston_Effort
576,7.99E-01,575,-22128.77,-22222.96,-22217.34,22083.82,22821.93,23109.42,22128.77,22222.96,22217.34,1070,5040,-6160,14450.4,181589.0819
577,8.00E-01,576,-22129.08,-22223.12,-22216.89,22089.7,22805.89,23119.6,22129.08,22223.12,22216.89,1180,4960,-6200,14562.53,182998.1491
578,8.01E-01,577,-22129.41,-22223.26,-22216.41,22096.16,22789.78,23129.27,22129.41,22223.26,22216.41,1290,4880,-6240,14671.83,184371.6534
579,8.03E-01,578,-22129.78,-22223.4,-22215.91,22103.2,22773.61,23138.41,22129.78,22223.4,22215.91,1400,4800,-6280,14778.04,185706.3276
580,8.04E-01,579,-22130.17,-22223.52,-22215.4,22110.81,22757.41,23147.02,22130.17,22223.52,22215.4,1500,4720,-6320,14880.89,186998.7788
581,8.06E-01,580,-22130.59,-22223.63,-22214.87,22118.98,22741.2,23155.08,22130.59,22223.63,22214.87,1610,4640,-6350,14980.13,188245.8654
582,8.07E-01,581,-22131.04,-22223.74,-22214.31,22127.7,22724.99,23162.58,22131.04,22223.74,22214.31,1720,4560,-6380,15075.48,189444.0689
583,8.08E-01,582,-22131.52,-22223.83,-22213.74,22136.97,22708.82,23169.49,22131.52,22223.83,22213.74,1830,4470,-6410,15166.68,190590.1219
584,8.10E-01,583,-22132.03,-22223.92,-22213.15,22146.78,22692.7,23175.82,22132.03,22223.92,22213.15,1930,4390,-6440,15253.48,191680.8828
585,8.11E-01,584,-22132.57,-22224,-22212.53,22157.11,22676.66,23181.54,22132.57,22224,22212.53,2040,4300,-6460,15335.62,192713.0845
586,8.13E-01,585,-22133.13,-22224.07,-22211.9,22167.96,22660.7,23186.66,22133.13,22224.07,22211.9,2150,4210,-6490,15412.83,193683.334
587,8.14E-01,586,-22133.72,-22224.14,-22211.25,22179.31,22644.86,23191.15,22133.72,22224.14,22211.25,2250,4120,-6510,15484.88,194588.741
588,8.15E-01,587,-22134.33,-22224.19,-22210.58,22191.16,22629.15,23195.02,22134.33,22224.19,22210.58,2360,4030,-6530,15551.52,195426.1639
589,8.17E-01,588,-22134.97,-22224.25,-22209.89,22203.49,22613.59,23198.24,22134.97,22224.25,22209.89,2460,3940,-6550,15612.5,196192.4612
590,8.18E-01,589,-22135.64,-22224.29,-22209.17,22216.29,22598.21,23200.82,22135.64,22224.29,22209.17,2560,3850,-6560,15667.61,196884.9939
591,8.19E-01,590,-22136.33,-22224.33,-22208.44,22229.55,22583.01,23202.76,22136.33,22224.33,22208.44,2670,3750,-6570,15716.62,197500.8717
592,8.21E-01,591,-22137.05,-22224.37,-22207.69,22243.25,22568.02,23204.03,22137.05,22224.37,22207.69,2770,3660,-6580,15759.32,198037.4558
593,8.22E-01,592,-22137.79,-22224.4,-22206.92,22257.38,22553.26,23204.65,22137.79,22224.4,22206.92,2870,3560,-6590,15795.51,198492.2327
594,8.24E-01,593,-22138.56,-22224.42,-22206.13,22271.92,22538.74,23204.6,22138.56,22224.42,22206.13,2970,3470,-6600,15825.01,198862.9406
595,8.25E-01,594,-22139.35,-22224.44,-22205.32,22286.86,22524.48,23203.89,22139.35,22224.44,22205.32,3070,3370,-6600,15847.66,199147.5689
596,8.26E-01,595,-22140.16,-22224.46,-22204.49,22302.19,22510.5,23202.52,22140.16,22224.46,22204.49,3170,3270,-6600,15863.3,199344.107
597,8.28E-01,596,-22141,-22224.47,-22203.64,22317.88,22496.81,23200.48,22141,22224.47,22203.64,3270,3170,-6600,15871.79,199450.7955
598,8.29E-01,597,-22141.85,-22224.48,-22202.78,22333.92,22483.44,23197.77,22141.85,22224.48,22202.78,3370,3070,-6600,15873.03,199466.3778
599,8.31E-01,598,-22142.73,-22224.49,-22201.89,22350.3,22470.39,23194.4,22142.73,22224.49,22201.89,3460,2970,-6590,15866.91,199389.4716
600,8.32E-01,599,-22143.63,-22224.49,-22200.99,22366.99,22457.68,23190.36,22143.63,22224.49,22200.99,3560,2870,-6590,15853.38,199219.4486
601,8.33E-01,600,-22144.55,-22224.49,-22200.07,22383.99,22445.33,23185.67,22144.55,22224.49,22200.07,3660,2770,-6580,15832.36,198955.3035
602,8.35E-01,601,-22145.48,-22224.49,-22199.13,22401.26,22433.34,23180.33,22145.48,22224.49,22199.13,3750,2660,-6570,15803.85,198597.0362
603,8.36E-01,602,-22146.44,-22224.49,-22198.18,22418.79,22421.74,23174.34,22146.44,22224.49,22198.18,3840,2560,-6550,15767.84,198144.5212
604,8.38E-01,603,-22147.41,-22224.49,-22197.21,22436.57,22410.53,23167.71,22147.41,22224.49,22197.21,3940,2460,-6540,15724.36,197598.1354
605,8.39E-01,604,-22148.4,-22224.48,-22196.22,22454.57,22399.73,23160.44,22148.4,22224.48,22196.22,4030,2350,-6520,15673.45,196958.3815
606,8.40E-01,605,-22149.41,-22224.48,-22195.22,22472.77,22389.36,23152.55,22149.41,22224.48,22195.22,4120,2250,-6500,15615.2,196226.3904
607,8.42E-01,606,-22150.43,-22224.47,-22194.2,22491.16,22379.41,23144.05,22150.43,22224.47,22194.2,4210,2140,-6480,15549.72,195403.5445
608,8.43E-01,607,-22151.47,-22224.46,-22193.17,22509.71,22369.91,23134.94,22151.47,22224.46,22193.17,4290,2030,-6450,15477.14,194491.4773
609,8.44E-01,608,-22152.53,-22224.45,-22192.12,22528.39,22360.86,23125.23,22152.53,22224.45,22192.12,4380,1930,-6430,15397.63,193492.3252
610,8.46E-01,609,-22153.59,-22224.44,-22191.06,22547.2,22352.27,23114.94,22153.59,22224.44,22191.06,4470,1820,-6400,15311.37,192408.35
611,8.47E-01,610,-22154.67,-22224.43,-22189.99,22566.11,22344.16,23104.08,22154.67,22224.43,22189.99,4550,1710,-6370,15218.59,191242.4422
612,8.49E-01,611,-22155.77,-22224.42,-22188.91,22585.1,22336.52,23092.66,22155.77,22224.42,22188.91,4630,1600,-6330,15119.53,189997.6175
613,8.50E-01,612,-22156.87,-22224.41,-22187.81,22604.14,22329.38,23080.7,22156.87,22224.41,22187.81,4720,1500,-6300,15014.46,188677.2689
614,8.51E-01,613,-22157.98,-22224.4,-22186.7,22623.21,22322.74,23068.21,22157.98,22224.4,22186.7,4800,1390,-6260,14903.7,187285.4177
615,8.53E-01,614,-22159.11,-22224.39,-22185.59,22642.3,22316.6,23055.21,22159.11,22224.39,22185.59,4880,1280,-6220,14787.55,185825.8338
616,8.54E-01,615,-22160.24,-22224.38,-22184.46,22661.37,22310.97,23041.71,22160.24,22224.38,22184.46,4950,1170,-6180,14666.38,184303.1667
617,8.56E-01,616,-22161.38,-22224.37,-22183.33,22680.41,22305.85,23027.73,22161.38,22224.37,22183.33,5030,1060,-6140,14540.54,182721.8146
618,8.57E-01,617,-22162.53,-22224.36,-22182.19,22699.4,22301.26,23013.29,22162.53,22224.36,22182.19,5110,949,-6090,14410.45,181087.0554
619,8.58E-01,618,-22163.69,-22224.35,-22181.04,22718.3,22297.2,22998.41,22163.69,22224.35,22181.04,5180,839,-6050,14276.5,179403.7901
620,8.60E-01,619,-22164.85,-22224.35,-22179.88,22737.11,22293.67,22983.1,22164.85,22224.35,22179.88,5250,729,-6000,14139.13,177677.5477
621,8.61E-01,620,-22166.02,-22224.34,-22178.72,22755.79,22290.68,22967.38,22166.02,22224.34,22178.72,5320,618,-5950,13998.8,175914.109
622,8.63E-01,621,-22167.19,-22224.33,-22177.55,22774.32,22288.22,22951.28,22167.19,22224.33,22177.55,5390,508,-5900,13855.95,174119.0029
623,8.64E-01,622,-22168.36,-22224.33,-22176.38,22792.68,22286.31,22934.81,22168.36,22224.33,22176.38,5460,397,-5840,13711.06,172298.2615
624,8.65E-01,623,-22169.54,-22224.33,-22175.21,22810.86,22284.94,22918,22169.54,22224.33,22175.21,5530,286,-5790,13564.62,170458.0422
625,8.67E-01,624,-22170.71,-22224.33,-22174.03,22828.82,22284.12,22900.86,22170.71,22224.33,22174.03,5590,176,-5730,13417.11,168604.3768
626,8.68E-01,625,-22171.89,-22224.32,-22172.86,22846.54,22283.84,22883.42,22171.89,22224.32,22172.86,5650,64.6,-5670,13269.04,166743.6743
627,8.69E-01,626,-22173.07,-22224.32,-22171.68,22864.01,22284.12,22865.69,22173.07,22224.32,22171.68,5710,-46.3,-5610,13120.9,164882.0922
628,8.71E-01,627,-22174.25,-22224.33,-22170.5,22881.19,22284.93,22847.7,22174.25,22224.33,22170.5,5770,-157,-5540,12973.19,163025.9136
629,8.72E-01,628,-22175.42,-22224.33,-22169.32,22898.08,22286.3,22829.48,22175.42,22224.33,22169.32,5830,-268,-5480,12826.42,161181.5474
630,8.74E-01,629,-22176.6,-22224.33,-22168.15,22914.64,22288.21,22811.03,22176.6,22224.33,22168.15,5890,-379,-5410,12681.07,159355.0254
631,8.75E-01,630,-22177.77,-22224.34,-22166.97,22930.87,22290.66,22792.4,22177.77,22224.34,22166.97,5940,-489,-5340,12537.63,157552.5052
632,8.76E-01,631,-22178.93,-22224.34,-22165.8,22946.73,22293.65,22773.59,22178.93,22224.34,22165.8,5990,-600,-5280,12396.59,155780.1443
633,8.78E-01,632,-22180.09,-22224.35,-22164.64,22962.2,22297.19,22754.63,22180.09,22224.35,22164.64,6040,-710,-5200,12258.41,154043.7232
634,8.79E-01,633,-22181.25,-22224.35,-22163.48,22977.27,22301.25,22735.55,22181.25,22224.35,22163.48,6090,-821,-5130,12123.54,152348.8968
635,8.81E-01,634,-22182.4,-22224.36,-22162.32,22991.93,22305.85,22716.36,22182.4,22224.36,22162.32,6140,-931,-5060,11992.43,150701.3199
636,8.82E-01,635,-22183.54,-22224.37,-22161.17,23006.14,22310.97,22697.09,22183.54,22224.37,22161.17,6180,-1040,-4980,11865.5,149106.2705
637,8.83E-01,636,-22184.67,-22224.38,-22160.03,23019.89,22316.61,22677.76,22184.67,22224.38,22160.03,6230,-1150,-4910,11743.15,147568.7751
638,8.85E-01,637,-22185.79,-22224.39,-22158.9,23033.17,22322.77,22658.4,22185.79,22224.39,22158.9,6270,-1260,-4830,11625.76,146093.6088
639,8.86E-01,638,-22186.91,-22224.4,-22157.78,23045.96,22329.44,22639.02,22186.91,22224.4,22157.78,6310,-1370,-4750,11513.71,144685.547
640,8.88E-01,639,-22188.01,-22224.41,-22156.67,23058.24,22336.61,22619.65,22188.01,22224.41,22156.67,6340,-1480,-4670,11407.32,143348.6108
641,8.89E-01,640,-22189.11,-22224.42,-22155.57,23069.99,22344.27,22600.31,22189.11,22224.42,22155.57,6380,-1590,-4580,11306.9,142086.6959
642,8.90E-01,641,-22190.19,-22224.43,-22154.48,23081.21,22352.42,22581.03,22190.19,22224.43,22154.48,6410,-1690,-4500,11212.75,140903.5721
643,8.92E-01,642,-22191.26,-22224.44,-22153.4,23091.88,22361.04,22561.82,22191.26,22224.44,22153.4,6440,-1800,-4420,11125.13,139802.5067
644,8.93E-01,643,-22192.32,-22224.45,-22152.33,23101.98,22370.14,22542.71,22192.32,22224.45,22152.33,6470,-1910,-4330,11044.26,138786.2643
645,8.94E-01,644,-22193.36,-22224.46,-22151.28,23111.5,22379.69,22523.71,22193.36,22224.46,22151.28,6490,-2010,-4240,10970.35,137857.4839
646,8.96E-01,645,-22194.39,-22224.47,-22150.25,23120.43,22389.69,22504.86,22194.39,22224.47,22150.25,6520,-2120,-4150,10903.59,137018.553
647,8.97E-01,646,-22195.4,-22224.48,-22149.23,23128.76,22400.13,22486.16,22195.4,22224.48,22149.23,6540,-2230,-4070,10844.11,136271.1052
648,8.99E-01,647,-22196.4,-22224.48,-22148.22,23136.48,22411,22467.65,22196.4,22224.48,22148.22,6560,-2330,-3970,10792.03,135616.6487
649,9.00E-01,648,-22197.39,-22224.49,-22147.23,23143.58,22422.29,22449.34,22197.39,22224.49,22147.23,6580,-2440,-3880,10747.46,135056.5655
650,9.01E-01,649,-22198.36,-22224.49,-22146.26,23150.06,22433.97,22431.24,22198.36,22224.49,22146.26,6590,-2540,-3790,10710.45,134591.4841
651,9.03E-01,650,-22199.31,-22224.49,-22145.31,23155.9,22446.05,22413.39,22199.31,22224.49,22145.31,6610,-2640,-3700,10681.03,134221.7815
652,9.04E-01,651,-22200.24,-22224.49,-22144.38,23161.1,22458.5,22395.8,22200.24,22224.49,22144.38,6620,-2750,-3600,10659.22,133947.709
653,9.06E-01,652,-22201.16,-22224.49,-22143.46,23165.65,22471.32,22378.49,22201.16,22224.49,22143.46,6630,-2850,-3510,10645.01,133769.1409
654,9.07E-01,653,-22202.06,-22224.49,-22142.57,23169.55,22484.49,22361.47,22202.06,22224.49,22142.57,6630,-2950,-3410,10638.34,133685.3232
655,9.08E-01,654,-22202.94,-22224.48,-22141.7,23172.8,22497.99,22344.77,22202.94,22224.48,22141.7,6640,-3050,-3310,10639.15,133695.5019
656,9.10E-01,655,-22203.8,-22224.47,-22140.84,23175.39,22511.81,22328.4,22203.8,22224.47,22140.84,6640,-3150,-3220,10647.36,133798.6718
657,9.11E-01,656,-22204.65,-22224.46,-22140.01,23177.32,22525.93,22312.38,22204.65,22224.46,22140.01,6640,-3250,-3120,10662.86,133993.4506
658,9.13E-01,657,-22205.47,-22224.44,-22139.21,23178.6,22540.34,22296.72,22205.47,22224.44,22139.21,6640,-3350,-3020,10685.51,134278.0789
659,9.14E-01,658,-22206.28,-22224.42,-22138.42,23179.21,22555.02,22281.45,22206.28,22224.42,22138.42,6630,-3440,-2920,10715.16,134650.6718
660,9.15E-01,659,-22207.07,-22224.39,-22137.66,23179.17,22569.96,22266.58,22207.07,22224.39,22137.66,6630,-3540,-2820,10751.65,135109.2186
661,9.17E-01,660,-22207.83,-22224.36,-22136.92,23178.47,22585.13,22252.11,22207.83,22224.36,22136.92,6620,-3640,-2710,10794.8,135651.4575
662,9.18E-01,661,-22208.58,-22224.32,-22136.21,23177.12,22600.52,22238.08,22208.58,22224.32,22136.21,6610,-3730,-2610,10844.41,136274.8752
663,9.19E-01,662,-22209.31,-22224.28,-22135.52,23175.13,22616.11,22224.49,22209.31,22224.28,22135.52,6590,-3820,-2510,10900.26,136976.707
664,9.21E-01,663,-22210.02,-22224.24,-22134.86,23172.49,22631.88,22211.35,22210.02,22224.24,22134.86,6580,-3920,-2410,10962.14,137754.314
665,9.22E-01,664,-22210.71,-22224.18,-22134.22,23169.22,22647.82,22198.68,22210.71,22224.18,22134.22,6560,-4010,-2300,11029.81,138604.6803
666,9.24E-01,665,-22211.37,-22224.12,-22133.61,23165.32,22663.9,22186.49,22211.37,22224.12,22133.61,6540,-4100,-2200,11103.03,139524.7899
667,9.25E-01,666,-22212.02,-22224.06,-22133.03,23160.79,22680.1,22174.79,22212.02,22224.06,22133.03,6520,-4190,-2090,11181.55,140511.5013
668,9.26E-01,667,-22212.65,-22223.99,-22132.47,23155.66,22696.41,22163.6,22212.65,22223.99,22132.47,6500,-4280,-1990,11265.12,141561.6729
669,9.28E-01,668,-22213.26,-22223.9,-22131.94,23149.92,22712.8,22152.92,22213.26,22223.9,22131.94,6470,-4360,-1880,11353.48,142672.0374
670,9.29E-01,669,-22213.85,-22223.82,-22131.44,23143.59,22729.25,22142.77,22213.85,22223.82,22131.44,6440,-4450,-1770,11446.35,143839.0763
671,9.31E-01,670,-22214.42,-22223.72,-22130.96,23136.69,22745.75,22133.16,22214.42,22223.72,22130.96,6410,-4530,-1670,11543.48,145059.6479
672,9.32E-01,671,-22214.97,-22223.61,-22130.52,23129.21,22762.27,22124.09,22214.97,22223.61,22130.52,6380,-4620,-1560,11644.59,146330.2336
673,9.33E-01,672,-22215.5,-22223.5,-22130.1,23121.18,22778.79,22115.57,22215.5,22223.5,22130.1,6350,-4700,-1450,11749.41,147647.4406
674,9.35E-01,673,-22216.01,-22223.37,-22129.71,23112.6,22795.29,22107.61,22216.01,22223.37,22129.71,6310,-4780,-1340,11857.68,149008.0015
675,9.36E-01,674,-22216.5,-22223.24,-22129.35,23103.5,22811.74,22100.23,22216.5,22223.24,22129.35,6270,-4860,-1230,11969.11,150408.2722
676,9.38E-01,675,-22216.97,-22223.09,-22129.02,23093.89,22828.13,22093.41,22216.97,22223.09,22129.02,6230,-4940,-1130,12083.45,151845.111
677,9.39E-01,676,-22217.43,-22222.94,-22128.72,23083.78,22844.44,22087.19,22217.43,22222.94,22128.72,6190,-5010,-1020,12200.41,153314.8737
678,9.40E-01,677,-22217.86,-22222.77,-22128.45,23073.19,22860.64,22081.55,22217.86,22222.77,22128.45,6140,-5090,-907,12319.74,154814.4187
679,9.42E-01,678,-22218.28,-22222.59,-22128.21,23062.13,22876.71,22076.5,22218.28,22222.59,22128.21,6100,-5160,-798,12441.17,156340.3531
680,9.43E-01,679,-22218.68,-22222.4,-22128,23050.63,22892.64,22072.05,22218.68,22222.4,22128,6050,-5230,-688,12564.42,157889.1583
681,9.44E-01,680,-22219.07,-22222.19,-22127.82,23038.7,22908.38,22068.21,22219.07,22222.19,22127.82,6000,-5310,-578,12689.25,159457.8183
682,9.46E-01,681,-22219.43,-22221.97,-22127.67,23026.37,22923.94,22064.97,22219.43,22221.97,22127.67,5950,-5370,-469,12815.38,161042.8146
683,9.47E-01,682,-22219.78,-22221.74,-22127.55,23013.64,22939.28,22062.34,22219.78,22221.74,22127.55,5890,-5440,-358,12942.56,162641.0057
684,9.49E-01,683,-22220.11,-22221.5,-22127.46,23000.54,22954.38,22060.32,22220.11,22221.5,22127.46,5840,-5510,-248,13070.53,164249.1241
685,9.50E-01,684,-22220.43,-22221.24,-22127.41,22987.09,22969.22,22058.91,22220.43,22221.24,22127.41,5780,-5570,-138,13199.03,165863.9027
686,9.51E-01,685,-22220.73,-22220.97,-22127.38,22973.31,22983.79,22058.12,22220.73,22220.97,22127.38,5720,-5630,-28,13327.82,167482.3256
687,9.53E-01,686,-22221.02,-22220.68,-22127.38,22959.21,22998.05,22057.94,22221.02,22220.68,22127.38,5660,-5690,82.3,13456.62,169100.8741
688,9.54E-01,687,-22221.29,-22220.38,-22127.41,22944.83,23011.99,22058.38,22221.29,22220.38,22127.41,5600,-5750,192,13585.2,170716.6581
689,9.56E-01,688,-22221.54,-22220.06,-22127.48,22930.18,23025.59,22059.43,22221.54,22220.06,22127.48,5530,-5810,303,13713.28,172326.1588
690,9.57E-01,689,-22221.79,-22219.72,-22127.57,22915.28,23038.83,22061.1,22221.79,22219.72,22127.57,5470,-5870,413,13840.63,173926.4861
691,9.58E-01,690,-22222.01,-22219.37,-22127.7,22900.15,23051.69,22063.37,22222.01,22219.37,22127.7,5400,-5920,523,13966.98,175514.247
692,9.60E-01,691,-22222.23,-22219,-22127.85,22884.82,23064.14,22066.26,22222.23,22219,22127.85,5330,-5970,633,14092.08,177086.3
693,9.61E-01,692,-22222.43,-22218.61,-22128.04,22869.3,23076.18,22069.75,22222.43,22218.61,22128.04,5260,-6020,742,14215.68,178639.5034
694,9.63E-01,693,-22222.62,-22218.21,-22128.25,22853.62,23087.78,22073.85,22222.62,22218.21,22128.25,5190,-6070,852,14337.5,180170.3387
695,9.64E-01,694,-22222.8,-22217.79,-22128.5,22837.8,23098.92,22078.54,22222.8,22217.79,22128.5,5110,-6120,961,14457.3,181675.7899
696,9.65E-01,695,-22222.96,-22217.35,-22128.78,22821.86,23109.59,22083.83,22222.96,22217.35,22128.78,5040,-6160,1070,14574.81,183152.4641
697,9.67E-01,696,-22223.12,-22216.89,-22129.08,22805.82,23119.77,22089.7,22223.12,22216.89,22129.08,4960,-6200,1180,14689.77,184597.0941
698,9.68E-01,697,-22223.26,-22216.41,-22129.42,22789.71,23129.44,22096.16,22223.26,22216.41,22129.42,4880,-6240,1290,14801.91,186006.2869
699,9.69E-01,698,-22223.39,-22215.92,-22129.78,22773.54,23138.59,22103.2,22223.39,22215.92,22129.78,4800,-6280,1400,14910.98,187376.9009
700,9.71E-01,699,-22223.52,-22215.4,-22130.17,22757.34,23147.2,22110.81,22223.52,22215.4,22130.17,4720,-6320,1500,15016.71,188705.5433
701,9.72E-01,700,-22223.63,-22214.87,-22130.6,22741.13,23155.26,22118.98,22223.63,22214.87,22130.6,4640,-6350,1610,15118.82,189988.6954
702,9.74E-01,701,-22223.74,-22214.32,-22131.05,22724.93,23162.76,22127.7,22223.74,22214.32,22131.05,4560,-6380,1720,15217.07,191223.3413
703,9.75E-01,702,-22223.83,-22213.74,-22131.53,22708.76,23169.68,22136.97,22223.83,22213.74,22131.53,4470,-6410,1830,15311.18,192405.9624
704,9.76E-01,703,-22223.92,-22213.15,-22132.03,22692.64,23176.01,22146.77,22223.92,22213.15,22132.03,4390,-6440,1930,15400.89,193533.2915
705,9.78E-01,704,-22224,-22212.54,-22132.57,22676.6,23181.74,22157.11,22224,22212.54,22132.57,4300,-6460,2040,15485.94,194602.0614
706,9.79E-01,705,-22224.07,-22211.91,-22133.13,22660.64,23186.85,22167.95,22224.07,22211.91,22133.13,4210,-6490,2150,15566.08,195609.1303
707,9.81E-01,706,-22224.13,-22211.26,-22133.72,22644.8,23191.35,22179.31,22224.13,22211.26,22133.72,4120,-6510,2250,15641.06,196551.3568
708,9.82E-01,707,-22224.19,-22210.58,-22134.34,22629.09,23195.22,22191.15,22224.19,22210.58,22134.34,4030,-6530,2360,15710.62,197425.4735
709,9.83E-01,708,-22224.24,-22209.89,-22134.98,22613.54,23198.45,22203.48,22224.24,22209.89,22134.98,3940,-6550,2460,15774.54,198228.7159
710,9.85E-01,709,-22224.29,-22209.18,-22135.65,22598.15,23201.03,22216.28,22224.29,22209.18,22135.65,3850,-6560,2560,15832.57,198957.9424
711,9.86E-01,710,-22224.33,-22208.45,-22136.34,22582.96,23202.96,22229.54,22224.33,22208.45,22136.34,3750,-6570,2670,15884.49,199610.3884
712,9.88E-01,711,-22224.36,-22207.7,-22137.06,22567.97,23204.24,22243.23,22224.36,22207.7,22137.06,3660,-6580,2770,15930.1,200183.5405
713,9.89E-01,712,-22224.39,-22206.93,-22137.8,22553.21,23204.86,22257.36,22224.39,22206.93,22137.8,3560,-6590,2870,15969.2,200674.8856
714,9.90E-01,713,-22224.42,-22206.14,-22138.56,22538.69,23204.82,22271.9,22224.42,22206.14,22138.56,3460,-6600,2970,16001.6,201082.036
715,9.92E-01,714,-22224.44,-22205.33,-22139.35,22524.43,23204.11,22286.84,22224.44,22205.33,22139.35,3370,-6600,3070,16027.12,201402.7298
716,9.93E-01,715,-22224.46,-22204.5,-22140.16,22510.46,23202.73,22302.16,22224.46,22204.5,22140.16,3270,-6600,3170,16045.63,201635.3333
717,9.94E-01,716,-22224.47,-22203.65,-22141,22496.77,23200.69,22317.86,22224.47,22203.65,22141,3170,-6600,3270,16056.97,201777.836
718,9.96E-01,717,-22224.48,-22202.78,-22141.86,22483.4,23197.99,22333.9,22224.48,22202.78,22141.86,3070,-6600,3370,16061.03,201828.8554
719,9.97E-01,718,-22224.49,-22201.9,-22142.73,22470.35,23194.62,22350.27,22224.49,22201.9,22142.73,2970,-6600,3460,16057.72,201787.2607
720,9.99E-01,719,-22224.49,-22201,-22143.63,22457.64,23190.58,22366.96,22224.49,22201,22143.63,2870,-6590,3560,16046.96,201652.0466
721,1.00E+00,720,-22224.49,-22200.07,-22144.55,22445.29,23185.89,22383.95,22224.49,22200.07,22144.55,2770,-6580,3650,16028.69,201422.459
